run,time_ms,visual_on,thermal_on,distance_v,heading_angle_v,heading_angle_t,centroid_v_x,centroid_v_y,centroid_t_x,centroid_t_y
1,1733766580.6453178,False,True,None,None,6.875,None,None,400,720
1,1733766581.3767834,False,True,None,None,6.875,None,None,400,720
1,1733766581.8863602,False,True,None,None,3.4375,None,None,400,680
1,1733766582.3821602,False,True,None,None,0.0,None,None,400,640
1,1733766582.8863018,False,True,None,None,0.0,None,None,440,640
1,1733766583.3969314,False,True,None,None,0.0,None,None,440,640
1,1733766583.9106677,False,True,None,None,0.0,None,None,440,640
1,1733766584.423062,False,True,None,None,0.0,None,None,440,640
1,1733766584.924603,False,True,None,None,0.0,None,None,440,640
1,1733766585.4366307,False,True,None,None,0.0,None,None,440,640
1,1733766585.946953,False,True,None,None,-3.4375,None,None,480,600
1,1733766586.457425,False,True,None,None,0.0,None,None,480,640
1,1733766586.9565244,False,True,None,None,3.4375,None,None,480,680
1,1733766587.512476,False,True,None,None,6.875,None,None,480,720
1,1733766587.9827924,False,True,None,None,6.875,None,None,480,720
1,1733766588.485104,False,True,None,None,3.4375,None,None,480,680
1,1733766588.997963,False,True,None,None,3.4375,None,None,480,680
1,1733766589.5143175,False,True,None,None,3.4375,None,None,480,680
1,1733766590.0144398,False,True,None,None,0.0,None,None,480,640
1,1733766590.5290396,False,True,None,None,0.0,None,None,480,640
1,1733766591.0466402,False,True,None,None,10.3125,None,None,480,760
